Type,FATAL CRASH #,Number of Fatalities,CASE NUMBER,LOCATION,AREA,Date,Month,Day,Hour,Time,Related,Killed: Driver/Pass,speed,Ran Red Light,Drivers License Status,SUSPECTED IMPAIRMENT,restraint or helmet,TYPE OF ROAD,FTSRA,XCOORD,YCOORD
Motorcycle,46,1,13-2010583,0 block Research Blvd SB,Adam,07/20/2013,Jul,sat,7,07:25:00,MC/FO,mc driver,x,N,okay,NONE,helmet,Other High Speed Roadway,No,30.348073,-97.712943
Motor Vehicle,47,1,13-2020347,12500 block of McCallen Pass,Edward,07/21/2013,Jul,Sun,3,03:17:00,MV/MV,driver,,N,okay,NONE,no seatbelt,Local Street,No,30.402273,-97.670028
Motor Vehicle,48,1,13-2060373,9000 Block N FM 620,Adam,07/25/2013,Jul,Thu,7,07:15:00,MV/FO,driver,,N,okay,NONE,no seatbelt,Local Street,No,30.430973,-97.841938
Motor Vehicle,49,1,13-2140126,12900 Block N IH35 SB Svrd,Edward,08/02/2013,Aug,Fri,1,01:02:00,MV/ROR,driver,x,N,No license,Driver,no seatbelt,IH-35,No,30.40803,-97.675235
Motorcycle,50,1,13-2220145,7600 E. Ben White EB,Henry,08/10/2013,Aug,Sat,1,01:19:00,MV/MC,mc driver,,N,okay,NONE,helmet,Other High Speed Roadway,Yes,30.218285,-97.690489
Motor Vehicle,51,1,13-2240139,1400 Bastrop Highway Svrd,Henry,08/12/2013,Aug,Mon,2,02:10:00,MV/MV,driver,,N,okay,Driver,seatbelt worn,Other High Speed Roadway,No,30.22426,-97.682802
Motor Vehicle,52,1,13-2440409,3100 E SH 71 EB,Henry,09/01/2013,Sep,sun,3,03:34:00,MV/MV,driver,,N,okay,NONE,seatbelt worn,Other High Speed Roadway,No,30.204719,-97.642804
Motor Vehicle,53,1,13-2470176,FM 1825 & Wells Branch Parkway,Edward,09/04/2013,Sep,Wed,2,02:15:00,MV/FO,driver,x,N,okay,Driver,no seatbelt,Local Street,No,30.441168,-97.666175
Motor Vehicle,54,1,13-2510197,11135 N IH35 Svrd NB,Edward,09/08/2013,Sep,Sun,1,01:45:00,MV/FO,driver,x,N,no license,Driver,no seatbelt,IH-35,No,30.376348,-97.675979
Motor Vehicle,55,1,13-2530936,E. MLK  Blvd and E.M. Franklin Ave,Charlie,09/10/2013,Sep,Tue,13,13:22:00,MV/MV,driver,,Y,okay,Driver,no seatbelt,Local Street,No,30.28373,-97.696093
Motor Vehicle,56,1,13-2631827,Manchaca Rd/Dittmar Rd,Frank,09/20/2013,Sep,Fri,20,20:37:00,MV/MV,passenger,,N,supsended for DWI,Driver,seatbelt worn,Local Street,No,30.185927,-97.816306
Pedestrian,57,1,13-2710828,5710 Glen Meadow Dr,Frank,09/28/2013,Sep,Sat,11,11:08:00,MV/PED,Pedestrian,,N,suspended license,NONE,n/a,Local Street,Yes,30.204267,-97.777862
Motor Vehicle,58,1,13-2861308,1700 W. Ben White EB,David,10/13/2013,Oct,Sun,16,16:39:00,MV/MV,driver,,N,okay,Driver,seatbelt worn,Other High Speed Roadway,No,30.228687,-97.785726
Motor Vehicle,59,1,13-2930450,9100 S. IH 35 SVRD SB,Frank,10/20/2013,Oct,Sun,4,04:39:00,MV/FO,driver,x,N,okay,Driver,no seatbelt,IH-35,No,30.166658,-97.787111
Motor Vehicle,60,2,13-2960081,12000 N MOPAC Expy NB,Adam,10/23/2013,Oct,Wed,0,00:52:00,MV/MV,both drivers,,N,okay,Driver,seatbelt worn,Other High Speed Roadway,No,30.409428,-97.712171
Motor Vehicle,61,1,13-2971834,1700 E SH71 WB,Henry,10/24/2013,Oct,Thu,21,21:11:00,MV/ROR,Passenger,,N,okay,NONE,no seatbelt,Other High Speed Roadway,No,30.22016,-97.671929
Motor Vehicle,62,1,13-2981930,4400 Block Manchaca,David,10/25/2013,Oct,Fri,22,22:20:00,MV/MC,driver,x,N,motorcyclist - suspended license,NONE,no seatbelt,Local Street,No,30.229529,-97.788591
Motor Vehicle,63,1,13-2991813,3800 N Capital of Texas,Baker,10/26/2013,Oct,Sat,21,21:45:00,MV/MV,passenger,,N,okay,Driver,unknown,Local Street,No,30.336222,-97.80548
Pedestrian,64,1,13-3042320,7100 Block Ed Bluestein,Charlie,10/31/2013,Oct,Thu,21,21:16:00,MV/PED,Pedestrian,,N,unknown driver,Pedestrian,n/a,other highway,Yes,30.315469,-97.663108
Motor Vehicle,65,1,13-3161832,5900 Block S IH 35 NB,Frank,11/12/2013,Nov,Tue,22,22:25:00,MV/FO,driver,,N,okay,NONE,seatbelt worn,IH-35,No,30.196626,-97.765377
Motor Vehicle,66,1,13-3280256,8200 block Old Bee Caves Road,David,11/24/2013,Nov,Sun,2,02:25:00,MV/FO,driver,,N,okay,NONE,seatbelt worn,Local Street,No,30.248801,-97.885898
Motor Vehicle,67,1,13-3310258,FM 969 / Nixon Lane,Charlie,11/27/2013,Nov,Wed,5,05:53:00,MV/MV,driver,,N,okay,NONE,seatbelt worn,Local Street,No,30.279944,-97.645568
Pedestrian,68,1,13-3311692,6400 BLK FM 969,Charlie,11/27/2013,Nov,Wed,21,21:58:00,MV/PED,Pedestrian,,N,okay,Pedestrian,n/a,high speed roeadway,No,30.284778,-97.660153
Pedestrian,69,1,13-3330477,5104 Beverly Hills Dr,Baker,11/29/2013,Nov,Fri,9,09:44:00,MV/PED,Pedestrian,,N,okay,NONE,n/a,Local Street,No,30.337134,-97.766676
Pedestrian,70,1,13-3411356,500 W. Ben White EB,David,12/07/2013,Dec,Sat,20,20:17:00,MV/PED,Pedestrian,,N,okay,Pedestrian,n/a,other highway,No,30.225812,-97.768352
Motor Vehicle,71,2,13-3611885,7600 block FM 620,Adam,12/27/2013,Dec,Fri,23,23:30:00,MV/MV,driver,x,N,okay,Driver,seatbelt worn,Other High Speed Roadway,Yes,30.409724,-97.85101
Motor Vehicle,72,1,13-3641035,3400 W Parmer,Adam,12/30/2013,Dec,Mon,15,15:57:00,MV/MV,passenger,,N,okay,NONE,unknown,Local Street,No,30.422342,-97.70823
